i,names,p1,t1,p2,t2,p3,t3,error1,error2,error3,hit1,hit2,hit3
0,LiO,-0.00278430907245,0.005,0.0505276085247,0.24,-0.0852847639334,0.143,0.00778430907245,0.189472391475,0.228284763933,0,1,0
1,LiSb,-0.186391633049,-0.137,0.18698251276,0.408,0.0597689171607,-0.218,0.0493916330487,0.22101748724,-0.277768917161,1,1,0
2,BeGe,-0.120702404465,-0.281,0.0239844536915,0.225,-0.0459685431657,-0.108,-0.160297595535,0.201015546308,-0.0620314568343,1,1,1
3,NaGe,-0.191478041741,-0.397,0.186979596564,0.426,0.0590239902512,-0.298,-0.205521958259,0.239020403436,-0.357023990251,1,1,0
4,MgI,0.0473270221371,0.002,0.124224335919,0.141,0.0604380515842,0.052,-0.0453270221371,0.0167756640811,-0.00843805158418,1,1,1
5,KAs,-0.12879607859,0.009,0.223842200104,0.268,0.0983594130148,-0.284,0.13779607859,0.0441577998962,-0.382359413015,0,1,0
6,KSb,-0.172490689648,-0.019,0.232524316067,0.269,0.107089858409,-0.363,0.153490689648,0.0364756839328,-0.470089858409,1,1,0
7,CaTe,0.0149322524627,0.06,0.309799190403,0.278,0.188263563491,0.143,0.0450677475373,-0.0317991904026,-0.0452635634912,1,1,1
8,ZnI,-0.0141931690542,0.051,0.01905360426,0.147,-0.0167450238476,0.105,0.0651931690542,0.12794639574,0.121745023848,0,1,0
9,GeI,-0.094763272696,-0.169,0.0974850906801,0.173,-0.134178842345,0.175,-0.074236727304,0.0755149093199,0.309178842345,1,1,0
10,RbGe,-0.198884011268,0.032,0.219266031114,0.265,0.089874217584,-0.232,0.230884011268,0.0457339688856,-0.321874217584,0,1,0
11,RbAs,-0.147374558214,0.024,0.220850453466,0.222,0.100280016645,-0.221,0.171374558214,0.00114954653417,-0.321280016645,0,1,0
12,SrGe,0.0409525419942,-0.156,0.368695295855,0.5,0.249106336834,0.196,-0.196952541994,0.131304704145,-0.0531063368339,0,1,1
13,YBr,-0.0274711087676,-0.32,0.236996571569,0.186,-0.00715980835586,-0.28,-0.292528891232,-0.0509965715687,-0.272840191644,1,1,1
14,NbO,-0.198373620195,-0.454,-0.0375047731324,0.036,-0.360670112558,-0.353,-0.255626379805,0.0735047731324,0.0076701125579,1,0,1
15,NbP,-0.0744761555229,-0.348,0.324853763869,0.55,0.00792169584169,0.42,-0.273523844477,0.225146236131,0.412078304158,1,1,1
16,RhGe,-0.100810853698,-0.335,0.173036656107,0.118,0.0200934417292,-0.052,-0.234189146302,-0.0550366561069,-0.0720934417292,1,1,0
17,AgB,-0.0201333978766,-0.225,0.0645563615946,0.035,-0.0143764265925,0.028,-0.204866602123,-0.0295563615946,0.0423764265925,1,1,0
18,AgBr,0.0292766947045,0.002,0.0976371188525,-0.044,-0.0276778330077,-0.037,-0.0272766947045,-0.141637118853,-0.00932216699228,1,0,1
19,InN,0.0991503395719,0.167,-0.0123365296755,-0.252,-0.0924450281305,-0.234,0.0678496604281,-0.239663470324,-0.14155497187,1,1,1
20,SnO,0.138376180486,0.115,-0.0351107109948,-0.033,-0.131397603257,-0.057,-0.0233761804863,0.00211071099482,0.0743976032566,1,1,1
21,SbN,0.0640999595103,0.147,-0.0149461399461,0.049,-0.162384822277,-0.074,0.0829000404897,0.0639461399461,0.0883848222771,1,0,1
22,SbSi,0.0632080830127,0.097,0.233211935922,0.189,0.0756401175774,0.058,0.0337919169873,-0.0442119359224,-0.0176401175774,1,1,1
23,SbTe,0.0963171624275,0.106,0.255934726662,0.343,0.104327584549,0.319,0.00968283757247,0.0870652733378,0.214672415451,1,1,1
24,TeAs,0.108666629243,0.114,0.252573386616,0.295,0.0843036262362,0.281,0.0053333707574,0.0424266133841,0.196696373764,1,1,1
25,HfO,-0.0230092061044,-0.082,0.131921148644,-0.151,-0.177800086864,-0.219,-0.0589907938956,-0.282921148644,-0.0411999131356,1,0,1
26,ReSe,-0.563709889352,-0.714,-0.191929634302,-0.466,-0.511382826345,-0.967,-0.150290110648,-0.274070365698,-0.455617173655,1,1,1
27,AuI,0.0649311438136,0.026,0.217930033536,-0.131,0.0911328145106,-0.107,-0.0389311438136,-0.348930033536,-0.198132814511,1,0,0
28,HgF,0.25341396071,0.093,-0.0110052944442,0.106,-0.148304232923,0.068,-0.16041396071,0.117005294444,0.216304232923,1,0,0
29,PbB,-0.0373911484079,0.127,0.0157868299903,-0.187,-0.0877882825399,-0.141,0.164391148408,-0.20278682999,-0.0532117174601,0,0,1
30,BiN,0.106304483584,0.185,0.0821259966352,0.034,-0.117598065293,-0.015,0.078695516416,-0.0481259966352,0.102598065293,1,1,1
31,BiSb,0.0707495990634,0.087,0.3131304608,0.223,0.115915296416,0.101,0.0162504009366,-0.0901304608004,-0.0149152964158,1,1,1
