i,names,p1,t1,p2,t2,p3,t3,error1,error2,error3,hit1,hit2,hit3
0,LiO,0.0466360000834,0.005,0.131938357051,0.24,-0.029379375961,0.143,-0.0416360000834,0.108061642949,0.172379375961,1,1,0
1,LiSb,-0.254860144887,-0.137,0.202454372826,0.408,0.0722026469938,-0.218,0.117860144887,0.205545627174,-0.290202646994,1,1,0
2,BeGe,-0.162190307855,-0.281,-0.012858021334,0.225,-0.0606632540609,-0.108,-0.118809692145,0.237858021334,-0.0473367459391,1,0,1
3,NaGe,-0.267827166417,-0.397,0.200931400773,0.426,0.0669298477602,-0.298,-0.129172833583,0.225068599227,-0.36492984776,1,1,0
4,MgI,-0.0135879686081,0.002,0.0668195228103,0.141,-0.0106465231095,0.052,0.0155879686081,0.0741804771897,0.0626465231095,0,1,0
5,KAs,-0.184298322631,0.009,0.259234303,0.268,0.121858070629,-0.284,0.193298322631,0.00876569700035,-0.405858070629,0,1,0
6,KSb,-0.25482880222,-0.019,0.249581920462,0.269,0.116579588431,-0.363,0.23582880222,0.0194180795376,-0.479579588431,1,1,0
7,CaTe,0.0199189396695,0.06,0.375657996341,0.278,0.245737468446,0.143,0.0400810603305,-0.0976579963408,-0.102737468446,1,1,1
8,ZnI,0.0230377143497,0.051,0.0506350575478,0.147,0.00519579584951,0.105,0.0279622856503,0.0963649424522,0.0998042041505,1,1,1
9,GeI,-0.0643561929854,-0.169,0.128080728458,0.173,-0.131113240552,0.175,-0.104643807015,0.0449192715422,0.306113240552,1,1,0
10,RbGe,-0.263025915063,0.032,0.263347827768,0.265,0.122493937704,-0.232,0.295025915063,0.0016521722321,-0.354493937704,0,1,0
11,RbAs,-0.191310028523,0.024,0.277035253246,0.222,0.142046968557,-0.221,0.215310028523,-0.055035253246,-0.363046968557,0,1,0
12,SrGe,0.00408833797914,-0.156,0.401949876703,0.5,0.282652711393,0.196,-0.160088337979,0.0980501232967,-0.0866527113928,0,1,1
13,YBr,-0.0872264274928,-0.32,0.222819974288,0.186,-0.0760237411424,-0.28,-0.232773572507,-0.0368199742884,-0.203976258858,1,1,1
14,NbO,-0.189999677145,-0.454,-0.0206573136381,0.036,-0.371897856612,-0.353,-0.264000322855,0.0566573136381,0.0188978566119,1,0,1
15,NbP,-0.0866577044329,-0.348,0.359850819125,0.55,0.0298987990001,0.42,-0.261342295567,0.190149180875,0.390101201,1,1,1
16,RhGe,-0.12910560158,-0.335,0.176741534079,0.118,0.0336858351787,-0.052,-0.20589439842,-0.0587415340795,-0.0856858351787,1,1,0
17,AgB,0.0122542329478,-0.225,0.100907111077,0.035,0.0319405497748,0.028,-0.237254232948,-0.0659071110774,-0.00394054977485,0,1,1
18,AgBr,0.0991771343517,0.002,0.168850230484,-0.044,0.00785439780362,-0.037,-0.0971771343517,-0.212850230484,-0.0448543978036,1,0,0
19,InN,0.10009391665,0.167,-0.0498287478366,-0.252,-0.125557533824,-0.234,0.0669060833503,-0.202171252163,-0.108442466176,1,1,1
20,SnO,0.195881899239,0.115,-0.0261995430858,-0.033,-0.128629839394,-0.057,-0.080881899239,-0.00680045691423,0.0716298393945,1,1,1
21,SbN,0.0742302042511,0.147,-0.0303905334348,0.049,-0.197716639938,-0.074,0.0727697957489,0.0793905334348,0.123716639938,1,0,1
22,SbSi,0.0674006402098,0.097,0.252253644649,0.189,0.0865217755003,0.058,0.0295993597902,-0.0632536446487,-0.0285217755003,1,1,1
23,SbTe,0.149552072508,0.106,0.32233296924,0.343,0.1560033278,0.319,-0.0435520725083,0.0206670307604,0.1629966722,1,1,1
24,TeAs,0.161380861407,0.114,0.357761438944,0.295,0.133792821287,0.281,-0.0473808614074,-0.062761438944,0.147207178713,1,1,1
25,HfO,0.0288917459039,-0.082,0.194890276577,-0.151,-0.143047101962,-0.219,-0.110891745904,-0.345890276577,-0.0759528980379,0,0,1
26,ReSe,-0.676820112596,-0.714,-0.266676510104,-0.466,-0.604554461567,-0.967,-0.0371798874037,-0.199323489896,-0.362445538433,1,1,1
27,AuI,0.0904506443803,0.026,0.257258277303,-0.131,0.110762298194,-0.107,-0.0644506443803,-0.388258277303,-0.217762298194,1,0,0
28,HgF,0.159979578911,0.093,-0.155408284433,0.106,-0.295713812364,0.068,-0.0669795789107,0.261408284433,0.363713812364,1,0,0
29,PbB,-0.232430757143,0.127,-0.190550604588,-0.187,-0.287256337038,-0.141,0.359430757143,0.00355060458802,0.146256337038,0,1,1
30,BiN,0.161432050107,0.185,0.116717178681,0.034,-0.107088382593,-0.015,0.0235679498929,-0.0827171786811,0.0920883825931,1,1,1
31,BiSb,0.0688967455574,0.087,0.334006997282,0.223,0.129255836851,0.101,0.0181032544426,-0.111006997282,-0.0282558368511,1,1,1
