i,names,p1,t1,p2,t2,p3,t3,error1,error2,error3,hit1,hit2,hit3
0,LiO,0.122527606375,0.005,-0.0416643221667,0.24,0.121649256619,0.143,-0.117527606375,0.281664322167,0.0213507433807,1,0,1
1,LiSb,0.0276354676531,-0.137,0.00259463326839,0.408,0.0774737601596,-0.218,-0.164635467653,0.405405366732,-0.29547376016,0,1,0
2,BeGe,-0.0405023960861,-0.281,-0.0326394942128,0.225,0.0100082406159,-0.108,-0.240497603914,0.257639494213,-0.118008240616,1,0,0
3,NaGe,0.0125034683486,-0.397,0.104875979385,0.426,0.121860361543,-0.298,-0.409503468349,0.321124020614,-0.419860361543,0,1,0
4,MgI,0.0983875437747,0.002,-0.0727070255138,0.141,0.123528361353,0.052,-0.0963875437747,0.213707025514,-0.0715283613528,1,0,1
5,KAs,0.0871760487022,0.009,0.0263754965834,0.268,0.203740819034,-0.284,-0.0781760487022,0.241624503417,-0.487740819034,1,1,0
6,KSb,0.0655871871664,-0.019,0.0398934853125,0.269,0.188223879333,-0.363,-0.0845871871664,0.229106514688,-0.551223879333,0,1,0
7,CaTe,0.0854583271651,0.06,0.0285538812099,0.278,0.27537687055,0.143,-0.0254583271651,0.24944611879,-0.13237687055,1,1,1
8,ZnI,0.102028773441,0.051,-0.214516439137,0.147,0.0675535520172,0.105,-0.0510287734412,0.361516439137,0.0374464479828,1,0,1
9,GeI,-0.197765060883,-0.169,-0.163232144812,0.173,-0.382778888083,0.175,0.0287650608835,0.336232144812,0.557778888083,1,0,0
10,RbGe,0.0291101186634,0.032,0.109476110866,0.265,0.174466458903,-0.232,0.00288988133659,0.155523889134,-0.406466458903,1,1,0
11,RbAs,0.0927336539908,0.024,0.00965395452523,0.222,0.204793963029,-0.221,-0.0687336539908,0.212346045475,-0.425793963029,1,1,0
12,SrGe,0.0782198320415,-0.156,0.258053753038,0.5,0.366206371011,0.196,-0.234219832041,0.241946246962,-0.170206371011,0,1,1
13,YBr,-0.0426741105086,-0.32,-0.0115504636867,0.186,-0.0103957702869,-0.28,-0.277325889491,0.197550463687,-0.269604229713,1,0,1
14,NbO,-0.115755128735,-0.454,-0.284646561037,0.036,-0.442074319476,-0.353,-0.338244871265,0.320646561037,0.0890743194759,1,0,1
15,NbP,-0.131390349265,-0.348,0.158417065952,0.55,0.167324015034,0.42,-0.216609650735,0.391582934048,0.252675984966,1,1,1
16,RhGe,-0.131426260451,-0.335,0.00212376000728,0.118,0.237796494674,-0.052,-0.203573739549,0.115876239993,-0.289796494674,1,1,0
17,AgB,0.135887719674,-0.225,-0.0371584950885,0.035,0.154162364508,0.028,-0.360887719674,0.0721584950885,-0.126162364508,0,0,1
18,AgBr,0.0966636528101,0.002,-0.178637024499,-0.044,0.0796281094845,-0.037,-0.0946636528101,0.134637024499,-0.116628109484,1,1,0
19,InN,0.230878815523,0.167,-0.368165351712,-0.252,0.0244930232721,-0.234,-0.0638788155226,0.116165351712,-0.258493023272,1,1,0
20,SnO,0.19627863398,0.115,-0.25062146987,-0.033,-0.0718632874834,-0.057,-0.0812786339801,0.21762146987,0.0148632874834,1,1,1
21,SbN,0.224055584958,0.147,-0.254695924021,0.049,-0.0935253747175,-0.074,-0.077055584958,0.303695924021,0.0195253747175,1,0,1
22,SbSi,0.16162260166,0.097,-0.0347941870981,0.189,0.187534297139,0.058,-0.0646226016601,0.223794187098,-0.129534297139,1,0,1
23,SbTe,0.0466687163136,0.106,-0.00578673420312,0.343,0.159162614823,0.319,0.0593312836864,0.348786734203,0.159837385177,1,0,1
24,TeAs,0.135731743745,0.114,-0.0423761946654,0.295,0.200109059736,0.281,-0.0217317437454,0.337376194665,0.0808909402639,1,0,1
25,HfO,0.07198124883,-0.082,-0.129658981393,-0.151,-0.0990479192401,-0.219,-0.15398124883,-0.0213410186067,-0.11995208076,0,1,1
26,ReSe,-0.674912728674,-0.714,-0.514670096255,-0.466,-0.509933636347,-0.967,-0.0390872713256,0.0486700962549,-0.457066363653,1,1,1
27,AuI,0.0509381399474,0.026,-0.160788166902,-0.131,0.103803817921,-0.107,-0.0249381399474,0.0297881669024,-0.210803817921,1,1,0
28,HgF,0.252241169041,0.093,-0.191054275782,0.106,0.07482689316,0.068,-0.159241169041,0.297054275782,-0.00682689316005,1,0,1
29,PbB,0.228071628976,0.127,-0.316570089555,-0.187,0.0468589817598,-0.141,-0.101071628976,0.129570089555,-0.18785898176,1,1,0
30,BiN,0.22167789925,0.185,-0.273071102959,0.034,-0.0859163629472,-0.015,-0.0366778992495,0.307071102959,0.0709163629472,1,0,1
31,BiSb,0.087347966617,0.087,0.0188871656132,0.223,0.252760541849,0.101,-0.000347966617038,0.204112834387,-0.151760541849,1,1,1
