i,names,p1,t1,p2,t2,p3,t3,error1,error2,error3,hit1,hit2,hit3
0,LiO,0.0767270481377,0.005,-0.0813853514105,0.24,0.11386240637,0.143,-0.0717270481377,0.32138535141,0.0291375936305,1,0,1
1,LiSb,0.0749955019535,-0.137,-0.0039471257696,0.408,-0.0242195477772,-0.218,-0.211995501953,0.41194712577,-0.193780452223,0,0,1
2,BeGe,0.0108189908461,-0.281,-0.0103586947895,0.225,0.000855233437502,-0.108,-0.291818990846,0.235358694789,-0.108855233438,0,0,0
3,NaGe,-0.0170805798045,-0.397,0.0947853917106,0.426,-0.0116704488935,-0.298,-0.379919420195,0.331214608289,-0.286329551106,1,1,1
4,MgI,0.135966677799,0.002,-0.100181433372,0.141,0.191477925263,0.052,-0.133966677799,0.241181433372,-0.139477925263,1,0,1
5,KAs,0.0788711440126,0.009,0.0911173508646,0.268,0.208417227431,-0.284,-0.0698711440126,0.176882649135,-0.492417227431,1,1,0
6,KSb,0.0551877679705,-0.019,0.0997735698713,0.269,0.14828611299,-0.363,-0.0741877679705,0.169226430129,-0.51128611299,0,1,0
7,CaTe,0.114912222948,0.06,0.0411823513865,0.278,0.349676410225,0.143,-0.0549122229477,0.236817648614,-0.206676410225,1,1,1
8,ZnI,0.119409461858,0.051,-0.25598789747,0.147,0.160407051645,0.105,-0.0684094618575,0.40298789747,-0.0554070516452,1,0,1
9,GeI,-0.145256708023,-0.169,-0.124954587641,0.173,-0.336408236079,0.175,-0.0237432919766,0.297954587641,0.511408236079,1,0,0
10,RbGe,-0.0350591775715,0.032,0.0978601192965,0.265,0.0699467290335,-0.232,0.0670591775715,0.167139880703,-0.301946729033,0,1,0
11,RbAs,0.0679116612169,0.024,0.0584091428582,0.222,0.219943636924,-0.221,-0.0439116612169,0.163590857142,-0.440943636924,1,1,0
12,SrGe,0.0751701532921,-0.156,0.265752129441,0.5,0.401746064412,0.196,-0.231170153292,0.234247870559,-0.205746064412,0,1,1
13,YBr,-0.0308773123347,-0.32,-0.0723167188402,0.186,-0.0786713506782,-0.28,-0.289122687665,0.25831671884,-0.201328649322,1,0,1
14,NbO,-0.1157838293,-0.454,-0.191969231296,0.036,-0.370968197237,-0.353,-0.3382161707,0.227969231296,0.017968197237,1,0,1
15,NbP,-0.196670710258,-0.348,0.244585340157,0.55,0.190206505199,0.42,-0.151329289742,0.305414659843,0.229793494801,1,1,1
16,RhGe,-0.200752950527,-0.335,0.0537002171901,0.118,0.29374843534,-0.052,-0.134247049473,0.0642997828099,-0.34574843534,1,1,0
17,AgB,0.185164254739,-0.225,0.0438420772805,0.035,0.295545310697,0.028,-0.410164254739,-0.00884207728045,-0.267545310697,0,1,1
18,AgBr,0.106840495149,0.002,-0.187980448844,-0.044,0.106420093151,-0.037,-0.104840495149,0.143980448844,-0.143420093151,1,1,0
19,InN,0.272913958049,0.167,-0.375483489375,-0.252,0.0715267563497,-0.234,-0.105913958049,0.123483489375,-0.30552675635,1,1,0
20,SnO,0.17214787053,0.115,-0.298173416697,-0.033,-0.0801720901098,-0.057,-0.0571478705303,0.265173416697,0.0231720901098,1,1,1
21,SbN,0.234680393123,0.147,-0.254227957295,0.049,-0.0822816756138,-0.074,-0.0876803931235,0.303227957295,0.00828167561382,1,0,1
22,SbSi,0.199669697255,0.097,-0.126367208967,0.189,0.152656952388,0.058,-0.102669697255,0.315367208967,-0.0946569523876,1,0,1
23,SbTe,0.0629191923288,0.106,-0.0527751046721,0.343,0.190900771197,0.319,0.0430808076712,0.395775104672,0.128099228803,1,0,1
24,TeAs,0.140168724146,0.114,-0.073450997364,0.295,0.279512618668,0.281,-0.0261687241464,0.368450997364,0.00148738133184,1,0,1
25,HfO,0.126181162644,-0.082,-0.24123764152,-0.151,-0.00422667294993,-0.219,-0.208181162644,0.0902376415203,-0.21477332705,0,1,1
26,ReSe,-0.67381943886,-0.714,-0.745435542746,-0.466,-0.596408635071,-0.967,-0.0401805611401,0.279435542746,-0.370591364929,1,1,1
27,AuI,0.114970598378,0.026,-0.208840248661,-0.131,0.139568427989,-0.107,-0.0889705983778,0.0778402486611,-0.246568427989,1,1,0
28,HgF,0.268878437087,0.093,-0.112791014448,0.106,0.0984762337512,0.068,-0.175878437087,0.218791014448,-0.0304762337512,1,0,1
29,PbB,0.242770652662,0.127,-0.529657279726,-0.187,-0.057967304129,-0.141,-0.115770652662,0.342657279726,-0.083032695871,1,1,1
30,BiN,0.291020459593,0.185,-0.270966112149,0.034,0.0473619001534,-0.015,-0.106020459593,0.304966112149,-0.0623619001534,1,0,0
31,BiSb,0.116661537146,0.087,0.00293926053444,0.223,0.332127879132,0.101,-0.0296615371462,0.220060739466,-0.231127879132,1,1,1
