i,names,p1,t1,p2,t2,p3,t3,error1,error2,error3,hit1,hit2,hit3
0,LiO,0.0521369475155,0.005,-0.0839381505149,0.24,0.104773489133,0.143,-0.0471369475155,0.323938150515,0.0382265108673,1,0,1
1,LiSb,0.0836401641236,-0.137,-0.0071714899687,0.408,-0.0346990100977,-0.218,-0.220640164124,0.415171489969,-0.183300989902,0,0,1
2,BeGe,-0.0293826283276,-0.281,0.0320466552925,0.225,0.0156142967324,-0.108,-0.251617371672,0.192953344708,-0.123614296732,1,1,0
3,NaGe,-0.0525092137495,-0.397,0.105333828034,0.426,-0.0212266389062,-0.298,-0.34449078625,0.320666171966,-0.276773361094,1,1,1
4,MgI,0.134689237033,0.002,-0.0821931424872,0.141,0.162547411182,0.052,-0.132689237033,0.223193142487,-0.110547411182,1,0,1
5,KAs,0.0854891501741,0.009,0.107336584213,0.268,0.21115760012,-0.284,-0.0764891501741,0.160663415787,-0.49515760012,1,1,0
6,KSb,0.0654912299309,-0.019,0.108090385979,0.269,0.140529819047,-0.363,-0.0844912299309,0.160909614021,-0.503529819047,0,1,0
7,CaTe,0.139660624419,0.06,0.0809823429738,0.278,0.40764095024,0.143,-0.0796606244188,0.197017657026,-0.26464095024,1,1,1
8,ZnI,0.117713844181,0.051,-0.235449132747,0.147,0.179530242348,0.105,-0.0667138441814,0.382449132747,-0.0745302423484,1,0,1
9,GeI,-0.160941763011,-0.169,-0.088330102146,0.173,-0.270516352093,0.175,-0.00805823698939,0.261330102146,0.445516352093,1,0,0
10,RbGe,-0.0485267786296,0.032,0.116072389042,0.265,0.0755677082294,-0.232,0.0805267786296,0.148927610958,-0.307567708229,0,1,0
11,RbAs,0.0778243544721,0.024,0.0919578677643,0.222,0.23227402625,-0.221,-0.0538243544721,0.130042132236,-0.45327402625,1,1,0
12,SrGe,0.055845067834,-0.156,0.304722781956,0.5,0.442686904955,0.196,-0.211845067834,0.195277218044,-0.246686904955,0,1,1
13,YBr,-0.0808106230462,-0.32,-0.0423579359116,0.186,-0.102747310697,-0.28,-0.239189376954,0.228357935912,-0.177252689303,1,0,1
14,NbO,-0.0978085073947,-0.454,-0.12532042453,0.036,-0.29269375151,-0.353,-0.356191492605,0.16132042453,-0.0603062484904,1,0,1
15,NbP,-0.161915897981,-0.348,0.312547522306,0.55,0.243071942388,0.42,-0.186084102019,0.237452477694,0.176928057612,1,1,1
16,RhGe,-0.272215529624,-0.335,0.0111563005108,0.118,0.181387815355,-0.052,-0.0627844703756,0.106843699489,-0.233387815355,1,1,0
17,AgB,0.209029500071,-0.225,0.00927244181099,0.035,0.292458495786,0.028,-0.434029500071,0.025727558189,-0.264458495786,0,1,1
18,AgBr,0.0941353054177,0.002,-0.136563891482,-0.044,0.140422726425,-0.037,-0.0921353054177,0.0925638914823,-0.177422726425,1,1,0
19,InN,0.304994906045,0.167,-0.395410946743,-0.252,0.0576436629336,-0.234,-0.137994906045,0.143410946743,-0.291643662934,1,1,0
20,SnO,0.17610286244,0.115,-0.283494807024,-0.033,-0.0548048079039,-0.057,-0.06110286244,0.250494807024,-0.0021951920961,1,1,1
21,SbN,0.217888399345,0.147,-0.349864759465,0.049,-0.0967605438705,-0.074,-0.0708883993452,0.398864759465,0.0227605438705,1,0,1
22,SbSi,0.197903574394,0.097,-0.10823001163,0.189,0.122013022599,0.058,-0.100903574394,0.29723001163,-0.0640130225994,1,0,1
23,SbTe,0.0651157534176,0.106,-0.103241305019,0.343,0.147108174678,0.319,0.0408842465824,0.446241305019,0.171891825322,1,0,1
24,TeAs,0.133229797353,0.114,-0.140087719098,0.295,0.272129071785,0.281,-0.0192297973528,0.435087719098,0.00887092821549,1,0,1
25,HfO,0.161641121626,-0.082,-0.196920133106,-0.151,0.0402782721489,-0.219,-0.243641121626,0.0459201331064,-0.259278272149,0,1,0
26,ReSe,-0.664245178425,-0.714,-0.898741529491,-0.466,-0.742471794086,-0.967,-0.0497548215745,0.432741529491,-0.224528205914,1,1,1
27,AuI,0.12842090576,0.026,-0.212067936215,-0.131,0.130601573139,-0.107,-0.10242090576,0.081067936215,-0.237601573139,1,1,0
28,HgF,0.301420109569,0.093,-0.0923817134081,0.106,0.111453740403,0.068,-0.208420109569,0.198381713408,-0.0434537404027,1,0,1
29,PbB,0.19422471246,0.127,-0.610446914315,-0.187,-0.134015508067,-0.141,-0.0672247124598,0.423446914315,-0.00698449193301,1,1,1
30,BiN,0.26635914204,0.185,-0.385769755499,0.034,0.0479748867496,-0.015,-0.0813591420396,0.419769755499,-0.0629748867496,1,0,0
31,BiSb,0.141433736911,0.087,-0.0283964888976,0.223,0.348719068644,0.101,-0.054433736911,0.251396488898,-0.247719068644,1,0,1
