i,names,p1,t1,p2,t2,p3,t3,error1,error2,error3,hit1,hit2,hit3
0,LiO,0.0911795985008,0.005,-0.0824636708277,0.24,0.151812083998,0.143,-0.0861795985008,0.322463670828,-0.0088120839975,1,0,1
1,LiSb,0.0779514697761,-0.137,-0.00679941861628,0.408,-0.0605366988612,-0.218,-0.214951469776,0.414799418616,-0.157463301139,0,0,1
2,BeGe,-0.021124774652,-0.281,0.0103419232375,0.225,-0.00214211749178,-0.108,-0.259875225348,0.214658076762,-0.105857882508,1,1,1
3,NaGe,-0.0501355145425,-0.397,0.0929218755788,0.426,-0.0347701273688,-0.298,-0.346864485457,0.333078124421,-0.263229872631,1,1,1
4,MgI,0.138417536702,0.002,-0.079100101505,0.141,0.160141734393,0.052,-0.136417536702,0.220100101505,-0.108141734393,1,0,1
5,KAs,0.0821565233295,0.009,0.0980836468744,0.268,0.195161207925,-0.284,-0.0731565233295,0.169916353126,-0.479161207925,1,1,0
6,KSb,0.062860148527,-0.019,0.0963286356325,0.269,0.122756115211,-0.363,-0.081860148527,0.172671364367,-0.485756115211,0,1,0
7,CaTe,0.141810956802,0.06,0.0606192325883,0.278,0.394715050388,0.143,-0.0818109568019,0.217380767412,-0.251715050388,1,1,1
8,ZnI,0.119630777456,0.051,-0.230977451059,0.147,0.178057560037,0.105,-0.0686307774561,0.377977451059,-0.0730575600367,1,0,1
9,GeI,-0.146096618581,-0.169,-0.0789864522366,0.173,-0.26571491677,0.175,-0.0229033814186,0.251986452237,0.44071491677,1,0,0
10,RbGe,-0.0421559093559,0.032,0.10077350831,0.265,0.0730946514595,-0.232,0.0741559093559,0.16422649169,-0.30509465146,0,1,0
11,RbAs,0.0764314840803,0.024,0.0821673399785,0.222,0.222341563323,-0.221,-0.0524314840803,0.139832660022,-0.443341563323,1,1,0
12,SrGe,0.0707953664421,-0.156,0.288474742875,0.5,0.44114097805,0.196,-0.226795366442,0.211525257125,-0.24514097805,0,1,1
13,YBr,-0.0713197083419,-0.32,-0.04733163976,0.186,-0.123205471327,-0.28,-0.248680291658,0.23333163976,-0.156794528673,1,0,1
14,NbO,-0.128908412347,-0.454,-0.114361837169,0.036,-0.290020176087,-0.353,-0.325091587653,0.150361837169,-0.0629798239131,1,0,1
15,NbP,-0.208636004309,-0.348,0.303598450991,0.55,0.237247435458,0.42,-0.139363995691,0.246401549009,0.182752564542,1,1,1
16,RhGe,-0.246044198144,-0.335,0.00459311120356,0.118,0.181742099476,-0.052,-0.0889558018557,0.113406888796,-0.233742099476,1,1,0
17,AgB,0.200132758455,-0.225,-0.0100786819638,0.035,0.28813323896,0.028,-0.425132758455,0.0450786819638,-0.26013323896,0,0,1
18,AgBr,0.101154558837,0.002,-0.133029043812,-0.044,0.129780354702,-0.037,-0.0991545588369,0.0890290438122,-0.166780354702,1,1,0
19,InN,0.302407445407,0.167,-0.390041615032,-0.252,0.0695419739889,-0.234,-0.135407445407,0.138041615032,-0.303541973989,1,1,0
20,SnO,0.175469699137,0.115,-0.273591893367,-0.033,-0.0518703619575,-0.057,-0.0604696991367,0.240591893367,-0.00512963804249,1,1,1
21,SbN,0.219171489215,0.147,-0.306069087981,0.049,-0.0536827837398,-0.074,-0.072171489215,0.355069087981,-0.0203172162602,1,0,1
22,SbSi,0.214355035362,0.097,-0.114920416171,0.189,0.11609961616,0.058,-0.117355035362,0.303920416171,-0.0580996161598,1,0,1
23,SbTe,0.0595436497347,0.106,-0.0941981659188,0.343,0.145918581349,0.319,0.0464563502653,0.437198165919,0.173081418651,1,0,1
24,TeAs,0.134225122696,0.114,-0.108251276377,0.295,0.275177689884,0.281,-0.0202251226963,0.403251276377,0.0058223101155,1,0,1
25,HfO,0.152827485751,-0.082,-0.201128763701,-0.151,0.0290274423707,-0.219,-0.234827485751,0.0501287637007,-0.248027442371,0,1,0
26,ReSe,-0.644565168455,-0.714,-0.936077392005,-0.466,-0.772297962775,-0.967,-0.0694348315451,0.470077392005,-0.194702037225,1,1,1
27,AuI,0.134035384449,0.026,-0.209648014666,-0.131,0.118760048026,-0.107,-0.108035384449,0.0786480146658,-0.225760048026,1,1,0
28,HgF,0.296356879525,0.093,-0.0949125851878,0.106,0.140115778258,0.068,-0.203356879525,0.200912585188,-0.0721157782577,1,0,1
29,PbB,0.219030815425,0.127,-0.595073805251,-0.187,-0.09563019616,-0.141,-0.0920308154246,0.408073805251,-0.04536980384,1,1,1
30,BiN,0.274180048179,0.185,-0.348606401495,0.034,0.100133916643,-0.015,-0.0891800481785,0.382606401495,-0.115133916643,1,0,0
31,BiSb,0.130965680522,0.087,-0.0397001732065,0.223,0.33938807737,0.101,-0.0439656805224,0.262700173206,-0.23838807737,1,0,1
