i,a,p,t,error,hit
0,LiO,-0.0296062058021,0.005,0.19399405982,0
1,LiSb,-0.054610468529,-0.137,0.19399405982,1
2,BeGe,-0.105663484227,-0.281,0.19399405982,1
3,NaGe,-0.0905267284782,-0.397,0.19399405982,1
4,MgI,-0.00881849111113,0.002,0.19399405982,0
5,KAs,-0.0364800537561,0.009,0.19399405982,0
6,KSb,-0.0154141466782,-0.019,0.19399405982,1
7,CaTe,0.00235779259665,0.06,0.19399405982,1
8,ZnI,0.0163735356374,0.051,0.19399405982,1
9,GeI,-0.153030252864,-0.169,0.19399405982,1
10,RbGe,-0.0671183438547,0.032,0.19399405982,0
11,RbAs,-0.0330768273672,0.024,0.19399405982,0
12,SrGe,-0.0168334916076,-0.156,0.19399405982,1
13,YBr,-0.11076270923,-0.32,0.19399405982,1
14,NbO,-0.15079230594,-0.454,0.19399405982,1
15,NbP,-0.208043982112,-0.348,0.19399405982,1
16,RhGe,-0.221263900971,-0.335,0.19399405982,1
17,AgB,0.0288320559026,-0.225,0.19399405982,0
18,AgBr,0.0156582171689,0.002,0.19399405982,1
19,InN,0.163623249281,0.167,0.19399405982,1
20,SnO,0.0852754218191,0.115,0.19399405982,1
21,SbN,0.111451028567,0.147,0.19399405982,1
22,SbSi,0.103649093759,0.097,0.19399405982,1
23,SbTe,0.0327289296793,0.106,0.19399405982,1
24,TeAs,0.0809510436377,0.114,0.19399405982,1
25,HfO,0.0427991278103,-0.082,0.19399405982,0
26,ReSe,-0.644833452472,-0.714,0.19399405982,1
27,AuI,0.00434714872519,0.026,0.19399405982,1
28,HgF,0.142450685058,0.093,0.19399405982,1
29,PbB,0.147848348286,0.127,0.19399405982,1
30,BiN,0.121932057505,0.185,0.19399405982,1
31,BiSb,0.0373089337825,0.087,0.19399405982,1
