i,a,p,t,error,hit
0,LiO,-0.0254293624372,0.143,0.21808556674,0
1,LiSb,-0.0067094181487,-0.218,0.21808556674,1
2,BeGe,-0.1051205781,-0.108,0.21808556674,1
3,NaGe,0.0213086084515,-0.298,0.21808556674,0
4,MgI,0.0923906284492,0.052,0.21808556674,1
5,KAs,0.05784059364,-0.284,0.21808556674,0
6,KSb,0.0662771448454,-0.363,0.21808556674,0
7,CaTe,0.173063146429,0.143,0.21808556674,1
8,ZnI,0.0156696247207,0.105,0.21808556674,1
9,GeI,-0.193321562708,0.175,0.21808556674,0
10,RbGe,0.0578956060442,-0.232,0.21808556674,0
11,RbAs,0.0600855452818,-0.221,0.21808556674,0
12,SrGe,0.218768742514,0.196,0.21808556674,1
13,YBr,0.0506709181765,-0.28,0.21808556674,0
14,NbO,-0.358375520055,-0.353,0.21808556674,1
15,NbP,0.0562274184206,0.42,0.21808556674,1
16,RhGe,-0.00826053914661,-0.052,0.21808556674,1
17,AgB,-0.0151448764439,0.028,0.21808556674,0
18,AgBr,-0.0671283043191,-0.037,0.21808556674,1
19,InN,0.0387621397832,-0.234,0.21808556674,0
20,SnO,-0.0692334522823,-0.057,0.21808556674,1
21,SbN,-0.0628207052127,-0.074,0.21808556674,1
22,SbSi,0.0766977126113,0.058,0.21808556674,1
23,SbTe,0.108372581176,0.319,0.21808556674,1
24,TeAs,0.103432301778,0.281,0.21808556674,1
25,HfO,-0.0771843264884,-0.219,0.21808556674,1
26,ReSe,-0.220394602995,-0.967,0.21808556674,1
27,AuI,0.0324035685108,-0.107,0.21808556674,0
28,HgF,-0.02948554086,0.068,0.21808556674,0
29,PbB,0.078229205312,-0.141,0.21808556674,0
30,BiN,-0.0240885438533,-0.015,0.21808556674,1
31,BiSb,0.153145357657,0.101,0.21808556674,1
