i,a,p,t,error,hit
0,LiO,0.185878445256,0.24,0.21894162205,1
1,LiSb,0.183258555493,0.408,0.21894162205,1
2,BeGe,0.103858510206,0.225,0.21894162205,1
3,NaGe,0.338435495014,0.426,0.21894162205,1
4,MgI,0.1000507771,0.141,0.21894162205,1
5,KAs,0.309372080752,0.268,0.21894162205,1
6,KSb,0.319634403572,0.269,0.21894162205,1
7,CaTe,0.29580169116,0.278,0.21894162205,1
8,ZnI,-0.000586351947852,0.147,0.21894162205,0
9,GeI,0.192477902285,0.173,0.21894162205,1
10,RbGe,0.34614571189,0.265,0.21894162205,1
11,RbAs,0.264416215707,0.222,0.21894162205,1
12,SrGe,0.452840909296,0.5,0.21894162205,1
13,YBr,0.228398527784,0.186,0.21894162205,1
14,NbO,0.00648269004155,0.036,0.21894162205,1
15,NbP,0.386587502195,0.55,0.21894162205,1
16,RhGe,0.280525750056,0.118,0.21894162205,1
17,AgB,0.160946212166,0.035,0.21894162205,1
18,AgBr,0.0685779447302,-0.044,0.21894162205,0
19,InN,-0.172785218437,-0.252,0.21894162205,1
20,SnO,0.0201497075017,-0.033,0.21894162205,0
21,SbN,-0.119457079644,0.049,0.21894162205,0
22,SbSi,0.148993890292,0.189,0.21894162205,1
23,SbTe,0.2755039435,0.343,0.21894162205,1
24,TeAs,0.238187678176,0.295,0.21894162205,1
25,HfO,0.0796192165496,-0.151,0.21894162205,0
26,ReSe,-0.0817873112654,-0.466,0.21894162205,1
27,AuI,0.0910865554694,-0.131,0.21894162205,0
28,HgF,0.0173271029888,0.106,0.21894162205,1
29,PbB,-0.279576178256,-0.187,0.21894162205,1
30,BiN,-0.136117195047,0.034,0.21894162205,0
31,BiSb,0.175234515323,0.223,0.21894162205,1
