i,a,p,t,error,hit
0,LiO,-0.103986179343,0.005,0.0831668035823,0
1,LiSb,-0.0846039424644,-0.137,0.0831668035823,1
2,BeGe,-0.1217491247,-0.281,0.0831668035823,1
3,NaGe,-0.163486467022,-0.397,0.0831668035823,1
4,MgI,-0.0204481629515,0.002,0.0831668035823,0
5,KAs,-0.0911087010108,0.009,0.0831668035823,0
6,KSb,-0.0681317866074,-0.019,0.0831668035823,1
7,CaTe,-0.0191620492127,0.06,0.0831668035823,0
8,ZnI,0.0156036377494,0.051,0.0831668035823,1
9,GeI,-0.158821774956,-0.169,0.0831668035823,1
10,RbGe,-0.150537988591,0.032,0.0831668035823,0
11,RbAs,-0.0907584217525,0.024,0.0831668035823,0
12,SrGe,-0.0747295674501,-0.156,0.0831668035823,1
13,YBr,-0.15217739206,-0.32,0.0831668035823,1
14,NbO,-0.158618166592,-0.454,0.0831668035823,1
15,NbP,-0.193684202388,-0.348,0.0831668035823,1
16,RhGe,-0.2812629295,-0.335,0.0831668035823,1
17,AgB,-0.017280698302,-0.225,0.0831668035823,1
18,AgBr,0.0395055447121,0.002,0.0831668035823,1
19,InN,0.218813247324,0.167,0.0831668035823,1
20,SnO,0.0552122275864,0.115,0.0831668035823,1
21,SbN,0.119546085083,0.147,0.0831668035823,1
22,SbSi,0.143725768476,0.097,0.0831668035823,1
23,SbTe,0.099232702075,0.106,0.0831668035823,1
24,TeAs,0.0640806451372,0.114,0.0831668035823,1
25,HfO,0.0433099103079,-0.082,0.0831668035823,0
26,ReSe,-0.726279904322,-0.714,0.0831668035823,1
27,AuI,0.0267547256926,0.026,0.0831668035823,1
28,HgF,0.178009888784,0.093,0.0831668035823,1
29,PbB,0.155179686172,0.127,0.0831668035823,1
30,BiN,0.186980490696,0.185,0.0831668035823,1
31,BiSb,0.106734821746,0.087,0.0831668035823,1
