i,a,p,t,error,hit
0,LiO,-0.16478949309,0.143,0.192123341815,0
1,LiSb,-0.129541768971,-0.218,0.192123341815,1
2,BeGe,-0.241848896271,-0.108,0.192123341815,1
3,NaGe,-0.00629017667001,-0.298,0.192123341815,1
4,MgI,0.138968366101,0.052,0.192123341815,1
5,KAs,0.0348353601433,-0.284,0.192123341815,0
6,KSb,0.0474721352296,-0.363,0.192123341815,0
7,CaTe,0.200390162841,0.143,0.192123341815,1
8,ZnI,0.0312812258764,0.105,0.192123341815,1
9,GeI,-0.228852589171,0.175,0.192123341815,0
10,RbGe,0.0120701046316,-0.232,0.192123341815,0
11,RbAs,0.0152045405792,-0.221,0.192123341815,0
12,SrGe,0.244235545151,0.196,0.192123341815,1
13,YBr,0.0670203625278,-0.28,0.192123341815,0
14,NbO,-0.58906047739,-0.353,0.192123341815,1
15,NbP,0.0485713560159,0.42,0.192123341815,1
16,RhGe,0.0528235668726,-0.052,0.192123341815,0
17,AgB,-0.0513420132714,0.028,0.192123341815,0
18,AgBr,0.00204681709679,-0.037,0.192123341815,0
19,InN,-0.0313404933964,-0.234,0.192123341815,1
20,SnO,-0.212165333256,-0.057,0.192123341815,1
21,SbN,-0.208212737162,-0.074,0.192123341815,1
22,SbSi,-0.00100387071252,0.058,0.192123341815,0
23,SbTe,0.159129360188,0.319,0.192123341815,1
24,TeAs,0.0448179008425,0.281,0.192123341815,1
25,HfO,-0.149076998775,-0.219,0.192123341815,1
26,ReSe,-0.382272851607,-0.967,0.192123341815,1
27,AuI,0.123450881125,-0.107,0.192123341815,0
28,HgF,-0.0454363587677,0.068,0.192123341815,0
29,PbB,0.0144651403958,-0.141,0.192123341815,0
30,BiN,-0.124383693239,-0.015,0.192123341815,1
31,BiSb,0.159190625407,0.101,0.192123341815,1
