i,a,p,t,error,hit
0,LiO,0.326497026063,0.24,0.099109253816,1
1,LiSb,0.183554978659,0.408,0.099109253816,1
2,BeGe,0.254077384708,0.225,0.099109253816,1
3,NaGe,0.416384560782,0.426,0.099109253816,1
4,MgI,0.0336046918058,0.141,0.099109253816,1
5,KAs,0.369923141849,0.268,0.099109253816,1
6,KSb,0.392151349313,0.269,0.099109253816,1
7,CaTe,0.314747952178,0.278,0.099109253816,1
8,ZnI,0.0164653517228,0.147,0.099109253816,1
9,GeI,0.230941345562,0.173,0.099109253816,1
10,RbGe,0.347347537303,0.265,0.099109253816,1
11,RbAs,0.30160883645,0.222,0.099109253816,1
12,SrGe,0.439114025464,0.5,0.099109253816,1
13,YBr,0.225776340765,0.186,0.099109253816,1
14,NbO,-0.0166603407356,0.036,0.099109253816,0
15,NbP,0.452748988976,0.55,0.099109253816,1
16,RhGe,0.313698533645,0.118,0.099109253816,1
17,AgB,0.142822239158,0.035,0.099109253816,1
18,AgBr,0.131569514001,-0.044,0.099109253816,0
19,InN,-0.125307480246,-0.252,0.099109253816,1
20,SnO,0.0500989094509,-0.033,0.099109253816,0
21,SbN,0.0624766249371,0.049,0.099109253816,1
22,SbSi,0.157096825821,0.189,0.099109253816,1
23,SbTe,0.343978629931,0.343,0.099109253816,1
24,TeAs,0.287221266197,0.295,0.099109253816,1
25,HfO,-0.0039451271601,-0.151,0.099109253816,1
26,ReSe,-0.197593226637,-0.466,0.099109253816,1
27,AuI,0.157583058179,-0.131,0.099109253816,0
28,HgF,0.0991060814794,0.106,0.099109253816,1
29,PbB,-0.518330489337,-0.187,0.099109253816,1
30,BiN,-0.0105177519562,0.034,0.099109253816,0
31,BiSb,0.201168278458,0.223,0.099109253816,1
