i,a,p,t,error,hit
0,LiO,-0.105806301167,0.005,0.0810581677907,0
1,LiSb,-0.0805710492351,-0.137,0.0810581677907,1
2,BeGe,-0.112345991093,-0.281,0.0810581677907,1
3,NaGe,-0.151571559635,-0.397,0.0810581677907,1
4,MgI,-0.0165078579498,0.002,0.0810581677907,0
5,KAs,-0.080573468577,0.009,0.0810581677907,0
6,KSb,-0.0591445591526,-0.019,0.0810581677907,1
7,CaTe,-0.0125899942084,0.06,0.0810581677907,0
8,ZnI,0.0148253491727,0.051,0.0810581677907,1
9,GeI,-0.161419807957,-0.169,0.0810581677907,1
10,RbGe,-0.135026461171,0.032,0.0810581677907,0
11,RbAs,-0.0779877980811,0.024,0.0810581677907,0
12,SrGe,-0.0650156912039,-0.156,0.0810581677907,1
13,YBr,-0.148053517143,-0.32,0.0810581677907,1
14,NbO,-0.154665876636,-0.454,0.0810581677907,1
15,NbP,-0.203313366895,-0.348,0.0810581677907,1
16,RhGe,-0.283491519492,-0.335,0.0810581677907,1
17,AgB,-0.0233136110526,-0.225,0.0810581677907,1
18,AgBr,0.0350890607449,0.002,0.0810581677907,1
19,InN,0.206094442394,0.167,0.0810581677907,1
20,SnO,0.0678416205308,0.115,0.0810581677907,1
21,SbN,0.122033852333,0.147,0.0810581677907,1
22,SbSi,0.135577289545,0.097,0.0810581677907,1
23,SbTe,0.0891443318111,0.106,0.0810581677907,1
24,TeAs,0.056048598255,0.114,0.0810581677907,1
25,HfO,0.044524635169,-0.082,0.0810581677907,0
26,ReSe,-0.718922758297,-0.714,0.0810581677907,1
27,AuI,0.0171058749352,0.026,0.0810581677907,1
28,HgF,0.174579986305,0.093,0.0810581677907,1
29,PbB,0.146737754592,0.127,0.0810581677907,1
30,BiN,0.175950905424,0.185,0.0810581677907,1
31,BiSb,0.0974115247552,0.087,0.0810581677907,1
