i,a,p,t,error,hit
0,LiO,-0.162343823405,0.143,0.194586703541,0
1,LiSb,-0.135154179426,-0.218,0.194586703541,1
2,BeGe,-0.244362101204,-0.108,0.194586703541,1
3,NaGe,-0.00249535578703,-0.298,0.194586703541,1
4,MgI,0.142548190093,0.052,0.194586703541,1
5,KAs,0.0426864185448,-0.284,0.194586703541,0
6,KSb,0.0572218899283,-0.363,0.194586703541,0
7,CaTe,0.193128848928,0.143,0.194586703541,1
8,ZnI,0.0260589240476,0.105,0.194586703541,1
9,GeI,-0.234839680259,0.175,0.194586703541,0
10,RbGe,0.0184502650534,-0.232,0.194586703541,0
11,RbAs,0.0216422924332,-0.221,0.194586703541,0
12,SrGe,0.235161263201,0.196,0.194586703541,1
13,YBr,0.0630217369862,-0.28,0.194586703541,0
14,NbO,-0.572491872208,-0.353,0.194586703541,1
15,NbP,0.0393583531396,0.42,0.194586703541,1
16,RhGe,0.0581959256245,-0.052,0.194586703541,0
17,AgB,-0.055178951226,0.028,0.194586703541,0
18,AgBr,0.0010223611784,-0.037,0.194586703541,0
19,InN,-0.0449436491855,-0.234,0.194586703541,1
20,SnO,-0.208539807073,-0.057,0.194586703541,1
21,SbN,-0.22929385399,-0.074,0.194586703541,1
22,SbSi,0.00245210552607,0.058,0.194586703541,1
23,SbTe,0.172121754192,0.319,0.194586703541,1
24,TeAs,0.06453508823,0.281,0.194586703541,1
25,HfO,-0.114989918203,-0.219,0.194586703541,1
26,ReSe,-0.374823528243,-0.967,0.194586703541,1
27,AuI,0.136050173618,-0.107,0.194586703541,0
28,HgF,-0.0525677766319,0.068,0.194586703541,0
29,PbB,-0.00268252146572,-0.141,0.194586703541,1
30,BiN,-0.16127883584,-0.015,0.194586703541,1
31,BiSb,0.16536382334,0.101,0.194586703541,1
