i,a,p,t,error,hit
0,LiO,0.262540670383,0.24,0.102904125428,1
1,LiSb,0.183128702998,0.408,0.102904125428,1
2,BeGe,0.243810042105,0.225,0.102904125428,1
3,NaGe,0.441866141977,0.426,0.102904125428,1
4,MgI,0.0186137877051,0.141,0.102904125428,1
5,KAs,0.395252773582,0.268,0.102904125428,1
6,KSb,0.410951837766,0.269,0.102904125428,1
7,CaTe,0.295498441169,0.278,0.102904125428,1
8,ZnI,-0.00424645587536,0.147,0.102904125428,0
9,GeI,0.214998309437,0.173,0.102904125428,1
10,RbGe,0.350657962098,0.265,0.102904125428,1
11,RbAs,0.314618852793,0.222,0.102904125428,1
12,SrGe,0.431156399677,0.5,0.102904125428,1
13,YBr,0.223524656658,0.186,0.102904125428,1
14,NbO,-0.0236982819072,0.036,0.102904125428,0
15,NbP,0.463254498794,0.55,0.102904125428,1
16,RhGe,0.342470881175,0.118,0.102904125428,1
17,AgB,0.168342118275,0.035,0.102904125428,1
18,AgBr,0.132047715578,-0.044,0.102904125428,0
19,InN,-0.134030229826,-0.252,0.102904125428,1
20,SnO,0.0471570747716,-0.033,0.102904125428,0
21,SbN,0.0496214256556,0.049,0.102904125428,1
22,SbSi,0.16894508203,0.189,0.102904125428,1
23,SbTe,0.357077987536,0.343,0.102904125428,1
24,TeAs,0.299588506861,0.295,0.102904125428,1
25,HfO,0.015285036081,-0.151,0.102904125428,0
26,ReSe,-0.236819263566,-0.466,0.102904125428,1
27,AuI,0.159790736693,-0.131,0.102904125428,0
28,HgF,0.131353506286,0.106,0.102904125428,1
29,PbB,-0.563002139596,-0.187,0.102904125428,1
30,BiN,-0.0476503611921,0.034,0.102904125428,0
31,BiSb,0.186171937173,0.223,0.102904125428,1
