i,a,p,t,error,hit
0,LiO,-0.1120631164,0.005,0.0810982816963,0
1,LiSb,-0.0807248713915,-0.137,0.0810982816963,1
2,BeGe,-0.109893708201,-0.281,0.0810982816963,1
3,NaGe,-0.147203466199,-0.397,0.0810982816963,1
4,MgI,-0.0185601583411,0.002,0.0810982816963,0
5,KAs,-0.0775614257972,0.009,0.0810982816963,0
6,KSb,-0.0552565249638,-0.019,0.0810982816963,1
7,CaTe,-0.0187328581311,0.06,0.0810982816963,0
8,ZnI,0.0129948517946,0.051,0.0810982816963,1
9,GeI,-0.164096620731,-0.169,0.0810982816963,1
10,RbGe,-0.1272327208,0.032,0.0810982816963,0
11,RbAs,-0.0738877249595,0.024,0.0810982816963,0
12,SrGe,-0.0612651667112,-0.156,0.0810982816963,1
13,YBr,-0.156565776977,-0.32,0.0810982816963,1
14,NbO,-0.152572515925,-0.454,0.0810982816963,1
15,NbP,-0.200126830236,-0.348,0.0810982816963,1
16,RhGe,-0.292959134546,-0.335,0.0810982816963,1
17,AgB,-0.021140200593,-0.225,0.0810982816963,1
18,AgBr,0.0354974485014,0.002,0.0810982816963,1
19,InN,0.205206061505,0.167,0.0810982816963,1
20,SnO,0.06300340864,0.115,0.0810982816963,1
21,SbN,0.11826080764,0.147,0.0810982816963,1
22,SbSi,0.135512745927,0.097,0.0810982816963,1
23,SbTe,0.0985506375601,0.106,0.0810982816963,1
24,TeAs,0.0579343136646,0.114,0.0810982816963,1
25,HfO,0.0466205568833,-0.082,0.0810982816963,0
26,ReSe,-0.715916182083,-0.714,0.0810982816963,1
27,AuI,0.018177004623,0.026,0.0810982816963,1
28,HgF,0.175668221808,0.093,0.0810982816963,1
29,PbB,0.154422789387,0.127,0.0810982816963,1
30,BiN,0.180931767473,0.185,0.0810982816963,1
31,BiSb,0.105407561699,0.087,0.0810982816963,1
