i,a,p,t,error,hit
0,LiO,-0.159972683524,0.143,0.194948342184,0
1,LiSb,-0.132986775694,-0.218,0.194948342184,1
2,BeGe,-0.239164683567,-0.108,0.194948342184,1
3,NaGe,-0.00288736740494,-0.298,0.194948342184,1
4,MgI,0.14747903522,0.052,0.194948342184,1
5,KAs,0.0418663341486,-0.284,0.194948342184,0
6,KSb,0.0552818631939,-0.363,0.194948342184,0
7,CaTe,0.198489731695,0.143,0.194948342184,1
8,ZnI,0.0298808836432,0.105,0.194948342184,1
9,GeI,-0.238581321541,0.175,0.194948342184,0
10,RbGe,0.0170435192908,-0.232,0.194948342184,0
11,RbAs,0.0204983578298,-0.221,0.194948342184,0
12,SrGe,0.240648607951,0.196,0.194948342184,1
13,YBr,0.0731715820589,-0.28,0.194948342184,0
14,NbO,-0.591018803848,-0.353,0.194948342184,1
15,NbP,0.0371760347653,0.42,0.194948342184,1
16,RhGe,0.0580396620425,-0.052,0.194948342184,0
17,AgB,-0.0533978223828,0.028,0.194948342184,0
18,AgBr,0.00526880972407,-0.037,0.194948342184,0
19,InN,-0.0446641460014,-0.234,0.194948342184,1
20,SnO,-0.2101756525,-0.057,0.194948342184,1
21,SbN,-0.233624633059,-0.074,0.194948342184,1
22,SbSi,0.00902752477789,0.058,0.194948342184,1
23,SbTe,0.170590651423,0.319,0.194948342184,1
24,TeAs,0.0589551883993,0.281,0.194948342184,1
25,HfO,-0.126272010125,-0.219,0.194948342184,1
26,ReSe,-0.401687103248,-0.967,0.194948342184,1
27,AuI,0.133363782507,-0.107,0.194948342184,0
28,HgF,-0.0503074573351,0.068,0.194948342184,0
29,PbB,0.00122976493446,-0.141,0.194948342184,0
30,BiN,-0.166951624398,-0.015,0.194948342184,1
31,BiSb,0.165898902629,0.101,0.194948342184,1
