i,a,p,t,error,hit
0,LiO,0.251680977544,0.24,0.0979431136721,1
1,LiSb,0.187076844663,0.408,0.0979431136721,1
2,BeGe,0.212407396751,0.225,0.0979431136721,1
3,NaGe,0.419901953955,0.426,0.0979431136721,1
4,MgI,0.0440403351682,0.141,0.0979431136721,1
5,KAs,0.373601683025,0.268,0.0979431136721,1
6,KSb,0.392782773887,0.269,0.0979431136721,1
7,CaTe,0.284466350242,0.278,0.0979431136721,1
8,ZnI,-0.00566694280349,0.147,0.0979431136721,0
9,GeI,0.215033683203,0.173,0.0979431136721,1
10,RbGe,0.354773808353,0.265,0.0979431136721,1
11,RbAs,0.298933015021,0.222,0.0979431136721,1
12,SrGe,0.431752616628,0.5,0.0979431136721,1
13,YBr,0.230665371604,0.186,0.0979431136721,1
14,NbO,-0.0380115621859,0.036,0.0979431136721,0
15,NbP,0.455099995953,0.55,0.0979431136721,1
16,RhGe,0.340688085835,0.118,0.0979431136721,1
17,AgB,0.162585817594,0.035,0.0979431136721,1
18,AgBr,0.125709800565,-0.044,0.0979431136721,0
19,InN,-0.143095641661,-0.252,0.0979431136721,1
20,SnO,0.0518459664014,-0.033,0.0979431136721,0
21,SbN,0.0429339533691,0.049,0.0979431136721,1
22,SbSi,0.163107806059,0.189,0.0979431136721,1
23,SbTe,0.346269425129,0.343,0.0979431136721,1
24,TeAs,0.275154027925,0.295,0.0979431136721,1
25,HfO,-0.0125078187559,-0.151,0.0979431136721,1
26,ReSe,-0.230403869493,-0.466,0.0979431136721,1
27,AuI,0.1481584756,-0.131,0.0979431136721,0
28,HgF,0.127142310233,0.106,0.0979431136721,1
29,PbB,-0.538845586149,-0.187,0.0979431136721,1
30,BiN,-0.0449824982848,0.034,0.0979431136721,0
31,BiSb,0.190182235773,0.223,0.0979431136721,1
